Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,,,
Vote by Mail,0,,0,,,0,,0,,,0,,,,0,,,,,,
Total,0,,0,,,0,,0,,,0,,,,0,,,,,,
99000,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,,,
Vote by Mail,0,0%,0,,0%,0,0%,0,,0%,0,,0%,,0,,,,,,
Total,0,0%,0,,0%,0,0%,0,,0%,0,,0%,,0,,,,,,
99002,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,****,****,****,,****,****,,****,,****,,,,,,
Vote by Mail,0,0%,0,,0%,0,0%,0,,0%,0,,0%,,0,,,,,,
Total,0,0%,0,,0%,0,0%,0,,0%,0,,0%,,0,,,,,,
44th Assembly District - Total,0,0%,0,,0%,0,0%,0,,0%,0,,0%,,0,,,,,,
45th Assembly District,,,,,,,,,,,,,,,,,,,,,
26000,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,0%,0,,0%,0,0%,0,,0%,0,,0%,,0,,,,,,
Vote by Mail,0,0%,0,,0%,0,0%,0,,0%,0,,0%,,0,,,,,,
Total,0,0%,0,,0%,0,0%,0,,0%,0,,0%,,0,,,,,,
45th Assembly District - Total,0,0%,0,,0%,0,0%,0,,0%,0,,0%,,0,,,,,,
Cumulative,,,,,,,,,,,,,,,,,,,,,
Cumulative,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,,,
Vote by Mail,0,,0,,,0,,0,,,0,,,,0,,,,,,
Total,0,,0,,,0,,0,,,0,,,,0,,,,,,
Cumulative - Total,0,,0,,,0,,0,,,0,,,,0,,,,,,
Member of the State Assembly - Total,0,0%,0,,0%,0,0%,0,,0%,0,,0%,,0,,,,,,
Board of Equalization,,,,,,,,,,,,,,,,,,,,,
Precinct,Times Cast,Registered Voters,,,,,,Precinct,,,,JULIÁN CASTRO (DEM),,,,MICHAEL A. ELLINGER (DEM),,,,,
State Board of Equalization-3rd District,,,,,,,,State Board of Equalization-3rd District,,,,,,,,,,,,,
2000,,,,,,,,2000,,,,,,,,,,,,,
Polling Place,1,2,,,,,,Polling Place,,,,****,,****,,****,,****,,,
Vote by Mail,2,2,,,,,,Vote by Mail,,,,****,,****,,****,,****,,,
Total,3,2,,,,,,Total,,,,****,,****,,****,,****,,,
2002,,,,,,,,2002,,,,,,,,,,,,,
Polling Place,1,13,,,,,,Polling Place,,,,****,,****,,****,,****,,,
Vote by Mail,9,13,,,,,,Vote by Mail,,,,0,,0%,,0,,0%,,,
Total,10,13,,,,,,Total,,,,0,,0%,,0,,0%,,,
3000,,,,,,,,3000,,,,,,,,,,,,,
Polling Place,36,102,,,,,,Polling Place,,,,0,,0%,,0,,0%,,,
Vote by Mail,33,102,,,,,,Vote by Mail,,,,0,,0%,,0,,0%,,,
Total,69,102,,,,,,Total,,,,0,,0%,,0,,0%,,,
3002,,,,,,,,3002,,,,,,,,,,,,,
Polling Place,19,29,,,,,,Polling Place,,,,0,,0%,,0,,0%,,,
Vote by Mail,17,29,,,,,,Vote by Mail,,,,0,,0%,,0,,0%,,,
Total,36,29,,,,,,Total,,,,0,,0%,,0,,0%,,,
3100,,,,,,,,3100,,,,,,,,,,,,,
Polling Place,0,0,,,,,,Polling Place,,,,0,,,,0,,,,,
Vote by Mail,0,0,,,,,,Vote by Mail,,,,0,,,,0,,,,,
Total,0,0,,,,,,Total,,,,0,,,,0,,,,,
3104,,,,,,,,3104,,,,,,,,,,,,,
Polling Place,0,0,,,,,,Polling Place,,,,0,,,,0,,,,,
Vote by Mail,0,0,,,,,,Vote by Mail,,,,0,,,,0,,,,,
Total,0,0,,,,,,Total,,,,0,,,,0,,,,,
3108,,,,,,,,3108,,,,,,,,,,,,,
Polling Place,0,0,,,,,,Polling Place,,,,0,,,,0,,,,,
Vote by Mail,0,0,,,,,,Vote by Mail,,,,0,,,,0,,,,,
Total,0,0,,,,,,Total,,,,0,,,,0,,,,,
Precinct,ELIZABETH WARREN (DEM),,MARIANNE WILLIAMSON (DEM),,,ANDREW YANG (DEM),,"ROQUE ""ROCKY"" DE LA FUENTE III (DEM)",,,JOHN K. DELANEY (DEM),,,,AMY KLOBUCHAR (DEM),,,,BERNIE SANDERS (DEM),,
State Board of Equalization-3rd District,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,****,****,****,,****,****,,****,,****,,****,,****,,****
Vote by Mail,****,****,****,,****,****,****,****,,****,****,,****,,****,,****,,****,,****
Total,****,****,****,,****,****,****,****,,****,****,,****,,****,,****,,****,,****
2002,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,****,****,****,,****,****,,****,,****,,****,,****,,****
Vote by Mail,0,0%,0,,0%,0,0%,0,,0%,0,,0%,,0,,0%,,4,,44.44%
Total,0,0%,0,,0%,0,0%,0,,0%,0,,0%,,0,,0%,,5,,50%
3000,,,,,,,,,,,,,,,,,,,,,
Polling Place,3,8.82%,0,,0%,0,0%,0,,0%,0,,0%,,0,,0%,,13,,38.24%
Vote by Mail,4,12.12%,0,,0%,0,0%,0,,0%,0,,0%,,2,,6.06%,,15,,45.45%
Total,7,10.45%,0,,0%,0,0%,0,,0%,0,,0%,,2,,2.99%,,28,,41.79%
3002,,,,,,,,,,,,,,,,,,,,,
Polling Place,1,5.26%,0,,0%,0,0%,0,,0%,0,,0%,,0,,0%,,6,,31.58%
Vote by Mail,1,5.88%,0,,0%,0,0%,0,,0%,0,,0%,,0,,0%,,4,,23.53%
Total,2,5.56%,0,,0%,0,0%,0,,0%,0,,0%,,0,,0%,,10,,27.78%
3100,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Vote by Mail,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Total,0,,0,,,0,,0,,,0,,,,0,,,,0,,
3104,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Vote by Mail,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Total,0,,0,,,0,,0,,,0,,,,0,,,,0,,
3108,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Vote by Mail,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Total,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Precinct,JOE SESTAK (DEM),,TOM STEYER (DEM),,,DEVAL PATRICK (DEM),,MICHAEL BENNET (DEM),,,MICHAEL R. BLOOMBERG (DEM),,,,MOSIE BOYD (DEM),,,,CORY BOOKER (DEM),,
State Board of Equalization-3rd District,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,****,****,****,,****,****,,****,,****,,****,,****,,****
Vote by Mail,****,****,****,,****,****,****,****,,****,****,,****,,****,,****,,****,,****
Total,****,****,****,,****,****,****,****,,****,****,,****,,****,,****,,****,,****
2002,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,****,****,****,,****,****,,****,,****,,****,,****,,****
Vote by Mail,0,0%,0,,0%,0,0%,0,,0%,3,,33.33%,,0,,0%,,0,,0%
Total,0,0%,0,,0%,0,0%,0,,0%,3,,30%,,0,,0%,,0,,0%
3000,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,0%,0,,0%,0,0%,0,,0%,4,,11.76%,,0,,0%,,0,,0%
Vote by Mail,0,0%,1,,3.03%,0,0%,0,,0%,4,,12.12%,,0,,0%,,0,,0%
Total,0,0%,1,,1.49%,0,0%,0,,0%,8,,11.94%,,0,,0%,,0,,0%
3002,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,0%,1,,5.26%,0,0%,0,,0%,2,,10.53%,,0,,0%,,0,,0%
Vote by Mail,0,0%,0,,0%,0,0%,0,,0%,2,,11.76%,,0,,0%,,0,,0%
Total,0,0%,1,,2.78%,0,0%,0,,0%,4,,11.11%,,0,,0%,,0,,0%
3100,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Vote by Mail,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Total,0,,0,,,0,,0,,,0,,,,0,,,,0,,
3104,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Vote by Mail,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Total,0,,0,,,0,,0,,,0,,,,0,,,,0,,
3108,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Vote by Mail,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Total,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Precinct,PETE BUTTIGIEG (DEM),,JOSEPH R. BIDEN (DEM),,,TULSI GABBARD (DEM),,MARK STEWART GREENSTEIN (DEM),,,Total Votes,,"NAKIA L. ANTHONY
Qualified Write In",,,,"DAPHNE DENISE BRADFORD
Qualified Write In",,,,
State Board of Equalization-3rd District,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,****,****,****,,****,****,,****,,,****,****,,,****,
Vote by Mail,****,****,****,,****,****,****,****,,****,****,,****,,,****,****,,,****,
Total,****,****,****,,****,****,****,****,,****,****,,****,,,****,****,,,****,
2002,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,****,****,****,,****,****,,****,,,****,****,,,****,
Vote by Mail,0,0%,2,,22.22%,0,0%,0,,0%,9,,0,,,0%,0,,,0%,
Total,0,0%,2,,20%,0,0%,0,,0%,10,,0,,,0%,0,,,0%,
3000,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,0%,14,,41.18%,0,0%,0,,0%,34,,0,,,0%,0,,,0%,
Vote by Mail,1,3.03%,6,,18.18%,0,0%,0,,0%,33,,0,,,0%,0,,,0%,
Total,1,1.49%,20,,29.85%,0,0%,0,,0%,67,,0,,,0%,0,,,0%,
3002,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,0%,9,,47.37%,0,0%,0,,0%,19,,0,,,0%,0,,,0%,
Vote by Mail,2,11.76%,7,,41.18%,1,5.88%,0,,0%,17,,0,,,0%,0,,,0%,
Total,2,5.56%,16,,44.44%,1,2.78%,0,,0%,36,,0,,,0%,0,,,0%,
3100,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,0,,,,0,,,,
Vote by Mail,0,,0,,,0,,0,,,0,,0,,,,0,,,,
Total,0,,0,,,0,,0,,,0,,0,,,,0,,,,
3104,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,0,,,,0,,,,
Vote by Mail,0,,0,,,0,,0,,,0,,0,,,,0,,,,
Total,0,,0,,,0,,0,,,0,,0,,,,0,,,,
3108,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,0,,,,0,,,,
Vote by Mail,0,,0,,,0,,0,,,0,,0,,,,0,,,,
Total,0,,0,,,0,,0,,,0,,0,,,,0,,,,
Precinct,"WILLIE FELIX CARTER
Qualified Write In",,"MICHAEL DENAME
Qualified Write In",,,"JEFFREY H. DROBMAN
Qualified Write In",,"ROBERT JORDAN
Qualified Write In",,,"HEATHER MARIE STAGG
Qualified Write In",,,,Unresolved Write-In,,,,,,
State Board of Equalization-3rd District,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,****,****,****,,****,****,,****,,****,,,,,,
Vote by Mail,****,****,****,,****,****,****,****,,****,****,,****,,****,,,,,,
Total,****,****,****,,****,****,****,****,,****,****,,****,,****,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,****,****,****,,****,****,,****,,****,,,,,,
Vote by Mail,0,0%,0,,0%,0,0%,0,,0%,0,,0%,,0,,,,,,
Total,0,0%,0,,0%,0,0%,0,,0%,0,,0%,,0,,,,,,
3000,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,0%,0,,0%,0,0%,0,,0%,0,,0%,,0,,,,,,
Vote by Mail,0,0%,0,,0%,0,0%,0,,0%,0,,0%,,0,,,,,,
Total,0,0%,0,,0%,0,0%,0,,0%,0,,0%,,0,,,,,,
3002,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,0%,0,,0%,0,0%,0,,0%,0,,0%,,0,,,,,,
Vote by Mail,0,0%,0,,0%,0,0%,0,,0%,0,,0%,,0,,,,,,
Total,0,0%,0,,0%,0,0%,0,,0%,0,,0%,,0,,,,,,
3100,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,,,
Vote by Mail,0,,0,,,0,,0,,,0,,,,0,,,,,,
Total,0,,0,,,0,,0,,,0,,,,0,,,,,,
3104,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,,,
Vote by Mail,0,,0,,,0,,0,,,0,,,,0,,,,,,
Total,0,,0,,,0,,0,,,0,,,,0,,,,,,
3108,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,,,
Vote by Mail,0,,0,,,0,,0,,,0,,,,0,,,,,,
Total,0,,0,,,0,,0,,,0,,,,0,,,,,,
Precinct,Times Cast,Registered Voters,,,,,,Precinct,,,,JULIÁN CASTRO (DEM),,,,MICHAEL A. ELLINGER (DEM),,,,,
4000,,,,,,,,4000,,,,,,,,,,,,,
Polling Place,7,92,,,,,,Polling Place,,,,0,,0%,,0,,0%,,,
Vote by Mail,40,92,,,,,,Vote by Mail,,,,0,,0%,,0,,0%,,,
Total,47,92,,,,,,Total,,,,0,,0%,,0,,0%,,,
4100,,,,,,,,4100,,,,,,,,,,,,,
Polling Place,32,153,,,,,,Polling Place,,,,0,,0%,,0,,0%,,,
Vote by Mail,59,153,,,,,,Vote by Mail,,,,0,,0%,,0,,0%,,,
Total,91,153,,,,,,Total,,,,0,,0%,,0,,0%,,,
4102,,,,,,,,4102,,,,,,,,,,,,,
Polling Place,0,20,,,,,,Polling Place,,,,0,,,,0,,,,,
Vote by Mail,7,20,,,,,,Vote by Mail,,,,0,,0%,,0,,0%,,,
Total,7,20,,,,,,Total,,,,0,,0%,,0,,0%,,,
5000,,,,,,,,5000,,,,,,,,,,,,,
Polling Place,0,1,,,,,,Polling Place,,,,0,,,,0,,,,,
Vote by Mail,0,1,,,,,,Vote by Mail,,,,0,,,,0,,,,,
Total,0,1,,,,,,Total,,,,0,,,,0,,,,,
5002,,,,,,,,5002,,,,,,,,,,,,,
Polling Place,1,0,,,,,,Polling Place,,,,****,,****,,****,,****,,,
Vote by Mail,0,0,,,,,,Vote by Mail,,,,0,,,,0,,,,,
Total,1,0,,,,,,Total,,,,****,,****,,****,,****,,,
5006,,,,,,,,5006,,,,,,,,,,,,,
Polling Place,154,493,,,,,,Polling Place,,,,0,,0%,,0,,0%,,,
Vote by Mail,245,493,,,,,,Vote by Mail,,,,0,,0%,,0,,0%,,,
Total,399,493,,,,,,Total,,,,0,,0%,,0,,0%,,,
5008,,,,,,,,5008,,,,,,,,,,,,,
Polling Place,0,34,,,,,,Polling Place,,,,0,,,,0,,,,,
Vote by Mail,15,34,,,,,,Vote by Mail,,,,0,,0%,,0,,0%,,,
Total,15,34,,,,,,Total,,,,0,,0%,,0,,0%,,,
5030,,,,,,,,5030,,,,,,,,,,,,,
Polling Place,0,0,,,,,,Polling Place,,,,0,,,,0,,,,,
Vote by Mail,0,0,,,,,,Vote by Mail,,,,0,,,,0,,,,,
Total,0,0,,,,,,Total,,,,0,,,,0,,,,,
Precinct,ELIZABETH WARREN (DEM),,MARIANNE WILLIAMSON (DEM),,,ANDREW YANG (DEM),,"ROQUE ""ROCKY"" DE LA FUENTE III (DEM)",,,JOHN K. DELANEY (DEM),,,,AMY KLOBUCHAR (DEM),,,,BERNIE SANDERS (DEM),,
4000,,,,,,,,,,,,,,,,,,,,,
Polling Place,1,14.29%,0,,0%,0,0%,0,,0%,0,,0%,,0,,0%,,2,,28.57%
Vote by Mail,1,2.5%,0,,0%,0,0%,0,,0%,0,,0%,,2,,5%,,18,,45%
Total,2,4.26%,0,,0%,0,0%,0,,0%,0,,0%,,2,,4.26%,,20,,42.55%
4100,,,,,,,,,,,,,,,,,,,,,
Polling Place,1,3.13%,0,,0%,0,0%,0,,0%,0,,0%,,0,,0%,,4,,12.5%
Vote by Mail,0,0%,1,,1.69%,0,0%,1,,1.69%,0,,0%,,1,,1.69%,,27,,45.76%
Total,1,1.1%,1,,1.1%,0,0%,1,,1.1%,0,,0%,,1,,1.1%,,31,,34.07%
4102,,,,,,,,,,,,,,,,,,,,,
