Board of Equalization,,,,,,,,,,,,,,,,,,,,,
Precinct,"WILLIE FELIX CARTER
Qualified Write In",,"MICHAEL DENAME
Qualified Write In",,,"JEFFREY H. DROBMAN
Qualified Write In",,"ROBERT JORDAN
Qualified Write In",,,"HEATHER MARIE STAGG
Qualified Write In",,,,Unresolved Write-In,,,,,,
0095020,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,****,****,****,,****,****,,****,,****,,,,,,
Vote by Mail,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,0,,,,,,
Total,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,0,,,,,,
0095028,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,,,
Vote by Mail,0,,0,,,0,,0,,,0,,,,0,,,,,,
Total,0,,0,,,0,,0,,,0,,,,0,,,,,,
0099000,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,,,
Vote by Mail,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,0,,,,,,
Total,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,0,,,,,,
0099002,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,****,****,****,,****,****,,****,,****,,,,,,
Vote by Mail,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,0,,,,,,
Total,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,0,,,,,,
44th Assembly District - Total,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,0,,,,,,
45th Assembly District,,,,,,,,,,,,,,,,,,,,,
0026000,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,0,,,,,,
Vote by Mail,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,0,,,,,,
Total,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,0,,,,,,
45th Assembly District - Total,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,0,,,,,,
Cumulative,,,,,,,,,,,,,,,,,,,,,
Cumulative,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,,,
Vote by Mail,0,,0,,,0,,0,,,0,,,,0,,,,,,
Total,0,,0,,,0,,0,,,0,,,,0,,,,,,
Cumulative - Total,0,,0,,,0,,0,,,0,,,,0,,,,,,
Member of the State Assembly - Total,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,0,,,,,,
Board of Equalization,,,,,,,,,,,,,,,,,,,,,
Precinct,Times Cast,Registered Voters,,,,,,Precinct,,,,JULIÁN CASTRO (DEM),,,,MICHAEL A. ELLINGER (DEM),,,,,
State Board of Equalization-3rd District,,,,,,,,State Board of Equalization-3rd District,,,,,,,,,,,,,
0002000,,,,,,,,0002000,,,,,,,,,,,,,
Polling Place,1,2,,,,,,Polling Place,,,,****,,****,,****,,****,,,
Vote by Mail,2,2,,,,,,Vote by Mail,,,,****,,****,,****,,****,,,
Total,3,2,,,,,,Total,,,,****,,****,,****,,****,,,
0002002,,,,,,,,0002002,,,,,,,,,,,,,
Polling Place,1,13,,,,,,Polling Place,,,,****,,****,,****,,****,,,
Vote by Mail,9,13,,,,,,Vote by Mail,,,,0,,0.00%,,0,,0.00%,,,
Total,10,13,,,,,,Total,,,,0,,0.00%,,0,,0.00%,,,
0003000,,,,,,,,0003000,,,,,,,,,,,,,
Polling Place,36,102,,,,,,Polling Place,,,,0,,0.00%,,0,,0.00%,,,
Vote by Mail,33,102,,,,,,Vote by Mail,,,,0,,0.00%,,0,,0.00%,,,
Total,69,102,,,,,,Total,,,,0,,0.00%,,0,,0.00%,,,
0003002,,,,,,,,0003002,,,,,,,,,,,,,
Polling Place,19,29,,,,,,Polling Place,,,,0,,0.00%,,0,,0.00%,,,
Vote by Mail,17,29,,,,,,Vote by Mail,,,,0,,0.00%,,0,,0.00%,,,
Total,36,29,,,,,,Total,,,,0,,0.00%,,0,,0.00%,,,
0003100,,,,,,,,0003100,,,,,,,,,,,,,
Polling Place,0,0,,,,,,Polling Place,,,,0,,,,0,,,,,
Vote by Mail,0,0,,,,,,Vote by Mail,,,,0,,,,0,,,,,
Total,0,0,,,,,,Total,,,,0,,,,0,,,,,
0003104,,,,,,,,0003104,,,,,,,,,,,,,
Polling Place,0,0,,,,,,Polling Place,,,,0,,,,0,,,,,
Vote by Mail,0,0,,,,,,Vote by Mail,,,,0,,,,0,,,,,
Total,0,0,,,,,,Total,,,,0,,,,0,,,,,
0003108,,,,,,,,0003108,,,,,,,,,,,,,
Polling Place,0,0,,,,,,Polling Place,,,,0,,,,0,,,,,
Vote by Mail,0,0,,,,,,Vote by Mail,,,,0,,,,0,,,,,
Total,0,0,,,,,,Total,,,,0,,,,0,,,,,
Precinct,ELIZABETH WARREN (DEM),,MARIANNE WILLIAMSON (DEM),,,ANDREW YANG (DEM),,"ROQUE ""ROCKY"" DE LA FUENTE III (DEM)",,,JOHN K. DELANEY (DEM),,,,AMY KLOBUCHAR (DEM),,,,BERNIE SANDERS (DEM),,
State Board of Equalization-3rd District,,,,,,,,,,,,,,,,,,,,,
0002000,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,****,****,****,,****,****,,****,,****,,****,,****,,****
Vote by Mail,****,****,****,,****,****,****,****,,****,****,,****,,****,,****,,****,,****
Total,****,****,****,,****,****,****,****,,****,****,,****,,****,,****,,****,,****
0002002,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,****,****,****,,****,****,,****,,****,,****,,****,,****
Vote by Mail,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,0,,0.00%,,4,,44.44%
Total,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,0,,0.00%,,5,,50.00%
0003000,,,,,,,,,,,,,,,,,,,,,
Polling Place,3,8.82%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,0,,0.00%,,13,,38.24%
Vote by Mail,4,12.12%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,2,,6.06%,,15,,45.45%
Total,7,10.45%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,2,,2.99%,,28,,41.79%
0003002,,,,,,,,,,,,,,,,,,,,,
Polling Place,1,5.26%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,0,,0.00%,,6,,31.58%
Vote by Mail,1,5.88%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,0,,0.00%,,4,,23.53%
Total,2,5.56%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,0,,0.00%,,10,,27.78%
0003100,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Vote by Mail,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Total,0,,0,,,0,,0,,,0,,,,0,,,,0,,
0003104,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Vote by Mail,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Total,0,,0,,,0,,0,,,0,,,,0,,,,0,,
0003108,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Vote by Mail,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Total,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Precinct,JOE SESTAK (DEM),,TOM STEYER (DEM),,,DEVAL PATRICK (DEM),,MICHAEL BENNET (DEM),,,MICHAEL R. BLOOMBERG (DEM),,,,MOSIE BOYD (DEM),,,,CORY BOOKER (DEM),,
State Board of Equalization-3rd District,,,,,,,,,,,,,,,,,,,,,
0002000,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,****,****,****,,****,****,,****,,****,,****,,****,,****
Vote by Mail,****,****,****,,****,****,****,****,,****,****,,****,,****,,****,,****,,****
Total,****,****,****,,****,****,****,****,,****,****,,****,,****,,****,,****,,****
0002002,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,****,****,****,,****,****,,****,,****,,****,,****,,****
Vote by Mail,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,3,,33.33%,,0,,0.00%,,0,,0.00%
Total,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,3,,30.00%,,0,,0.00%,,0,,0.00%
0003000,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,4,,11.76%,,0,,0.00%,,0,,0.00%
Vote by Mail,0,0.00%,1,,3.03%,0,0.00%,0,,0.00%,4,,12.12%,,0,,0.00%,,0,,0.00%
Total,0,0.00%,1,,1.49%,0,0.00%,0,,0.00%,8,,11.94%,,0,,0.00%,,0,,0.00%
0003002,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,0.00%,1,,5.26%,0,0.00%,0,,0.00%,2,,10.53%,,0,,0.00%,,0,,0.00%
Vote by Mail,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,2,,11.76%,,0,,0.00%,,0,,0.00%
Total,0,0.00%,1,,2.78%,0,0.00%,0,,0.00%,4,,11.11%,,0,,0.00%,,0,,0.00%
0003100,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Vote by Mail,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Total,0,,0,,,0,,0,,,0,,,,0,,,,0,,
0003104,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Vote by Mail,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Total,0,,0,,,0,,0,,,0,,,,0,,,,0,,
0003108,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Vote by Mail,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Total,0,,0,,,0,,0,,,0,,,,0,,,,0,,
Precinct,PETE BUTTIGIEG (DEM),,JOSEPH R. BIDEN (DEM),,,TULSI GABBARD (DEM),,MARK STEWART GREENSTEIN (DEM),,,Total Votes,,"NAKIA L. ANTHONY
Qualified Write In",,,,"DAPHNE DENISE BRADFORD
Qualified Write In",,,,
State Board of Equalization-3rd District,,,,,,,,,,,,,,,,,,,,,
0002000,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,****,****,****,,****,****,,****,,,****,****,,,****,
Vote by Mail,****,****,****,,****,****,****,****,,****,****,,****,,,****,****,,,****,
Total,****,****,****,,****,****,****,****,,****,****,,****,,,****,****,,,****,
0002002,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,****,****,****,,****,****,,****,,,****,****,,,****,
Vote by Mail,0,0.00%,2,,22.22%,0,0.00%,0,,0.00%,9,,0,,,0.00%,0,,,0.00%,
Total,0,0.00%,2,,20.00%,0,0.00%,0,,0.00%,10,,0,,,0.00%,0,,,0.00%,
0003000,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,0.00%,14,,41.18%,0,0.00%,0,,0.00%,34,,0,,,0.00%,0,,,0.00%,
Vote by Mail,1,3.03%,6,,18.18%,0,0.00%,0,,0.00%,33,,0,,,0.00%,0,,,0.00%,
Total,1,1.49%,20,,29.85%,0,0.00%,0,,0.00%,67,,0,,,0.00%,0,,,0.00%,
0003002,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,0.00%,9,,47.37%,0,0.00%,0,,0.00%,19,,0,,,0.00%,0,,,0.00%,
Vote by Mail,2,11.76%,7,,41.18%,1,5.88%,0,,0.00%,17,,0,,,0.00%,0,,,0.00%,
Total,2,5.56%,16,,44.44%,1,2.78%,0,,0.00%,36,,0,,,0.00%,0,,,0.00%,
0003100,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,0,,,,0,,,,
Vote by Mail,0,,0,,,0,,0,,,0,,0,,,,0,,,,
Total,0,,0,,,0,,0,,,0,,0,,,,0,,,,
0003104,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,0,,,,0,,,,
Vote by Mail,0,,0,,,0,,0,,,0,,0,,,,0,,,,
Total,0,,0,,,0,,0,,,0,,0,,,,0,,,,
0003108,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,0,,,,0,,,,
Vote by Mail,0,,0,,,0,,0,,,0,,0,,,,0,,,,
Total,0,,0,,,0,,0,,,0,,0,,,,0,,,,
Precinct,"WILLIE FELIX CARTER
Qualified Write In",,"MICHAEL DENAME
Qualified Write In",,,"JEFFREY H. DROBMAN
Qualified Write In",,"ROBERT JORDAN
Qualified Write In",,,"HEATHER MARIE STAGG
Qualified Write In",,,,Unresolved Write-In,,,,,,
State Board of Equalization-3rd District,,,,,,,,,,,,,,,,,,,,,
0002000,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,****,****,****,,****,****,,****,,****,,,,,,
Vote by Mail,****,****,****,,****,****,****,****,,****,****,,****,,****,,,,,,
Total,****,****,****,,****,****,****,****,,****,****,,****,,****,,,,,,
0002002,,,,,,,,,,,,,,,,,,,,,
Polling Place,****,****,****,,****,****,****,****,,****,****,,****,,****,,,,,,
Vote by Mail,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,0,,,,,,
Total,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,0,,,,,,
0003000,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,0,,,,,,
Vote by Mail,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,0,,,,,,
Total,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,0,,,,,,
0003002,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,0,,,,,,
Vote by Mail,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,0,,,,,,
Total,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,,0.00%,,0,,,,,,
0003100,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,,,
Vote by Mail,0,,0,,,0,,0,,,0,,,,0,,,,,,
Total,0,,0,,,0,,0,,,0,,,,0,,,,,,
0003104,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,,,
Vote by Mail,0,,0,,,0,,0,,,0,,,,0,,,,,,
Total,0,,0,,,0,,0,,,0,,,,0,,,,,,
0003108,,,,,,,,,,,,,,,,,,,,,
Polling Place,0,,0,,,0,,0,,,0,,,,0,,,,,,
Vote by Mail,0,,0,,,0,,0,,,0,,,,0,,,,,,
Total,0,,0,,,0,,0,,,0,,,,0,,,,,,
Precinct,Times Cast,Registered Voters,,,,,,Precinct,,,,JULIÁN CASTRO (DEM),,,,MICHAEL A. ELLINGER (DEM),,,,,
0004000,,,,,,,,0004000,,,,,,,,,,,,,
Polling Place,7,92,,,,,,Polling Place,,,,0,,0.00%,,0,,0.00%,,,
Vote by Mail,40,92,,,,,,Vote by Mail,,,,0,,0.00%,,0,,0.00%,,,
Total,47,92,,,,,,Total,,,,0,,0.00%,,0,,0.00%,,,
0004100,,,,,,,,0004100,,,,,,,,,,,,,
Polling Place,32,153,,,,,,Polling Place,,,,0,,0.00%,,0,,0.00%,,,
Vote by Mail,59,153,,,,,,Vote by Mail,,,,0,,0.00%,,0,,0.00%,,,
Total,91,153,,,,,,Total,,,,0,,0.00%,,0,,0.00%,,,
0004102,,,,,,,,0004102,,,,,,,,,,,,,
Polling Place,0,20,,,,,,Polling Place,,,,0,,,,0,,,,,
Vote by Mail,7,20,,,,,,Vote by Mail,,,,0,,0.00%,,0,,0.00%,,,
Total,7,20,,,,,,Total,,,,0,,0.00%,,0,,0.00%,,,
0005000,,,,,,,,0005000,,,,,,,,,,,,,
Polling Place,0,1,,,,,,Polling Place,,,,0,,,,0,,,,,
Vote by Mail,0,1,,,,,,Vote by Mail,,,,0,,,,0,,,,,
Total,0,1,,,,,,Total,,,,0,,,,0,,,,,
0005002,,,,,,,,0005002,,,,,,,,,,,,,
Polling Place,1,0,,,,,,Polling Place,,,,****,,****,,****,,****,,,
Vote by Mail,0,0,,,,,,Vote by Mail,,,,0,,,,0,,,,,
Total,1,0,,,,,,Total,,,,****,,****,,****,,****,,,
0005006,,,,,,,,0005006,,,,,,,,,,,,,
